,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
168,0.677,0.657,-4.657,0.0596,0.498,0.0,0.0562,0.812,116.225,6ggHV1SCPqLLV5U2kyW9qD,215984
169,0.645,0.712,-5.787,0.188,0.208,0.0,0.3,0.805,136.724,46FdwGMcgz6gik4RCpWBAW,148793
170,0.855,0.59,-8.55,0.0751,0.28,0.0982,0.149,0.283,110.016,3K56RPWS4q200IwHiIZcUD,137184
171,0.743,0.89,-5.451,0.0837,0.366,0.0,0.0966,0.809,107.635,5IdyvWCaUa7AgTxMsFj0wB,196864
172,0.609,0.515,-9.843,0.0486,0.539,0.0839,0.0722,0.853,152.787,0OLLsFyVPrjI3iL03lDFXk,186709
173,0.676,0.441,-6.929,0.0253,0.726,0.0,0.0884,0.515,140.091,57GWBz1UtT6iei1jrbkovI,171724
174,0.588,0.452,-4.75,0.0268,0.437,0.0,0.344,0.734,139.953,0UXlu64mDLvfzR8IXMz06J,185723
175,0.702,0.586,-5.317,0.118,0.55,0.0,0.27,0.965,112.852,5kpxVMDvYGRmNqawPqDTYR,158093
176,0.571,0.567,-6.873,0.0994,0.431,0.0,0.129,0.967,165.332,1RGlfmdvcfatN0ZLOmzanS,196500
177,0.639,0.88,-3.056,0.145,0.56,0.0,0.354,0.965,109.689,1oRxWYm6Vw7dwsnmewFuhx,139625
178,0.732,0.573,-5.733,0.0237,0.56,9.34e-06,0.0543,0.882,97.502,4H6o1bxKRGzmsE0vzo968m,152923
179,0.824,0.672,-7.679,0.126,0.133,1.97e-06,0.114,0.797,120.538,5qKsIal7JJZ2bqXHPKdyVb,225250
180,0.784,0.551,-8.697,0.0448,0.508,0.0,0.0596,0.926,106.987,63BZhuQ6OZQmxy2RERMHko,122243
181,0.811,0.867,-5.157,0.0918,0.621,0.000111,0.0759,0.897,104.469,3foO6pKWWEIMeIIjGiHRde,215644
182,0.616,0.68,-4.768,0.0467,0.683,0.0,0.153,0.377,96.523,0q2CjjP0hoopNMz2924hey,174627
183,0.741,0.588,-4.833,0.0288,0.289,0.000256,0.308,0.675,107.513,5ilf0RHAnRF5miyE9ad8O7,216837
184,0.714,0.61,-5.048,0.0319,0.165,0.0,0.331,0.963,106.049,51AtNwSp96OMUywgEr6BhF,165371
185,0.539,0.318,-8.023,0.0824,0.366,0.0,0.203,0.759,143.286,2IN5quW5Yd0mi6PzMoaz5y,205125
186,0.62,0.402,-8.715,0.0331,0.514,8.43e-06,0.349,0.266,127.105,4SdLUkVGNUm2gNF7YQdhY1,220866
187,0.698,0.687,-4.115,0.0501,0.195,0.0,0.0829,0.773,116.765,7ifMxHITc3NIipJO4R5NGb,202876
188,0.749,0.899,-4.73,0.0926,0.179,1.58e-06,0.0929,0.868,163.935,3HevcnYdnqtS0MvtyWkOg5,169146
189,0.755,0.55,-6.102,0.107,0.618,2.66e-06,0.0868,0.926,114.501,01OAhZvrPcUBko04aEy1Hh,159976
190,0.731,0.491,-3.116,0.029,0.609,0.0,0.262,0.781,132.891,0uBcoM4zxRXk7kmsmxoiFS,170053
191,0.551,0.436,-8.029,0.0428,0.395,0.0,0.0719,0.862,188.651,74WROFXsox6wkeUrEK2DS6,170745
192,0.778,0.445,-5.178,0.0416,0.675,2.05e-06,0.283,0.969,116.973,6wTqVQ6RRkqAyT5XDGcRq4,154869
193,0.557,0.66,-4.467,0.0768,0.118,0.0,0.085,0.907,128.179,6Yard5LK4aXEn0kBKtHSob,202022
194,0.479,0.574,-6.894,0.0712,0.407,0.0,0.299,0.97,163.295,6bKPmj3k2zoTzoEOiFnmM0,173500
195,0.673,0.592,-6.819,0.0319,0.146,0.0288,0.0942,0.778,117.354,6Gv2GDFZzmhK6b82lUwjhG,184680
196,0.715,0.739,-3.779,0.041,0.578,0.0,0.0887,0.963,101.611,1hHnCReCPe1FUkGLTeuCaC,140984
197,0.409,0.713,-6.713,0.03,0.434,0.000719,0.206,0.725,97.029,15UfWisTMmHsMjkUUEAoAa,214398
198,0.436,0.4,-6.521,0.11,0.463,0.0,0.76,0.568,75.576,6HIIuuUIEzH1meVdGbMXyf,189050
199,0.555,0.832,-3.691,0.0412,0.28,0.0,0.0894,0.43,170.124,3qAJAUr7yc9bPDx4ESt6ND,209903
200,0.595,0.492,-6.169,0.137,0.671,0.0,0.101,0.945,114.015,3MNizqH3Vgli5czbnBDCie,142014
201,0.593,0.364,-7.242,0.175,0.515,0.0,0.348,0.652,83.133,0lyZyn18awzOJuVM7qzCmd,230000
202,0.684,0.882,-7.963,0.0761,0.517,9.81e-05,0.296,0.892,140.545,1Tcm4Qi0lbzXofH11MIzJs,188417
203,0.62,0.436,-8.108,0.213,0.554,0.0,0.0891,0.368,172.854,4YF13O2n16dcTyGgVmiGvN,169705
204,0.689,0.568,-9.496,0.0547,0.51,4.33e-05,0.234,0.81,103.069,1pQrVutT9kzgLavLMUFubD,187250
205,0.696,0.623,-8.738,0.0438,0.466,8.61e-06,0.0983,0.965,154.028,2NWaWZZLFMcr5P4uI2KvWy,223431
206,0.761,0.477,-4.32,0.0514,0.805,0.0,0.163,0.967,112.276,7kIDShjwKNfhXv1dNfT9ec,208680
207,0.689,0.811,-2.499,0.0399,0.362,0.0,0.353,0.91,113.93,4irQHeQLap1F8Roqj3xJXW,163422
208,0.524,0.498,-5.238,0.0517,0.32,0.0,0.14,0.93,184.799,51tc4qhcssnwHV683Pq8H3,178987
